,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
66,2017-07-31,2605788.1078040497,3680641.456290768,3757249.2035041787,2605788.1078040497,2605788.1078040497,1111615.963279535,1111615.963279535,1111615.963279535,1111615.963279535,1111615.963279535,1111615.963279535,0.0,0.0,0.0,3717404.071083585
67,2017-08-31,2610458.7362483023,3139775.8953564,3215906.921078292,2610458.7362483023,2610458.7362483023,571074.9303553542,571074.9303553542,571074.9303553542,571074.9303553542,571074.9303553542,571074.9303553542,0.0,0.0,0.0,3181533.6666036565
68,2017-09-30,2614978.6992588695,2627882.3354641977,2700890.4806279656,2614978.6992588695,2614978.6992588695,47853.84845443457,47853.84845443457,47853.84845443457,47853.84845443457,47853.84845443457,47853.84845443457,0.0,0.0,0.0,2662832.547713304
69,2017-10-31,2619649.3277031225,2221489.6282120487,2294484.022553623,2619649.3277031225,2619649.3277031225,-360838.56646733155,-360838.56646733155,-360838.56646733155,-360838.56646733155,-360838.56646733155,-360838.56646733155,0.0,0.0,0.0,2258810.761235791
70,2017-11-30,2624169.2907136893,2067751.7909858667,2141829.292485023,2624169.2907136893,2624169.2907136893,-519122.61951754434,-519122.61951754434,-519122.61951754434,-519122.61951754434,-519122.61951754434,-519122.61951754434,0.0,0.0,0.0,2105046.671196145
71,2017-12-31,2628839.9191579423,2419073.393505072,2494653.733912138,2628839.9191579423,2628839.9191579423,-169464.11420761936,-169464.11420761936,-169464.11420761936,-169464.11420761936,-169464.11420761936,-169464.11420761936,0.0,0.0,0.0,2459375.804950323
72,2018-01-01,2628990.5845916276,2396765.5950704203,2468771.891501837,2628990.584591628,2628990.584591628,-197703.97643872595,-197703.97643872595,-197703.97643872595,-197703.97643872595,-197703.97643872595,-197703.97643872595,0.0,0.0,0.0,2431286.6081529018
73,2018-02-01,2633661.21303588,1932742.6880685526,2004310.8047748422,2633624.8434122805,2633684.8197496734,-666125.9505511563,-666125.9505511563,-666125.9505511563,-666125.9505511563,-666125.9505511563,-666125.9505511563,0.0,0.0,0.0,1967535.2624847237
74,2018-03-01,2637879.8451790763,1610425.6682018556,1683809.5983973963,2637729.1145228,2638030.5549661587,-991662.6663777243,-991662.6663777243,-991662.6663777243,-991662.6663777243,-991662.6663777243,-991662.6663777243,0.0,0.0,0.0,1646217.1788013522
75,2018-04-01,2642550.473623329,2275138.8787770555,2349447.7963344697,2642163.868251454,2642911.7894082605,-329149.3893478684,-329149.3893478684,-329149.3893478684,-329149.3893478684,-329149.3893478684,-329149.3893478684,0.0,0.0,0.0,2313401.0842754603
76,2018-05-01,2647070.4366338956,2753757.582459478,2824848.0271493727,2646399.271544671,2647671.228514947,142920.40570222904,142920.40570222904,142920.40570222904,142920.40570222904,142920.40570222904,142920.40570222904,0.0,0.0,0.0,2789990.8423361247
77,2018-06-01,2651741.0650781486,2982968.9548352985,3060562.5063927067,2650776.168321107,2652648.2312214123,370058.0287020531,370058.0287020531,370058.0287020531,370058.0287020531,370058.0287020531,370058.0287020531,0.0,0.0,0.0,3021799.093780202
78,2018-07-01,2656261.028088716,3389725.6422192715,3464176.4411279745,2654993.1689665825,2657458.3536042655,772383.6214431751,772383.6214431751,772383.6214431751,772383.6214431751,772383.6214431751,772383.6214431751,0.0,0.0,0.0,3428644.649531891
79,2018-08-01,2660931.6565329684,3699631.22082166,3772793.666219175,2659281.399005031,2662457.3249361133,1076092.224182544,1076092.224182544,1076092.224182544,1076092.224182544,1076092.224182544,1076092.224182544,0.0,0.0,0.0,3737023.8807155127
80,2018-09-01,2665602.2849772214,3223399.046016306,3296216.6744906367,2663571.0782647682,2667500.4992694557,593067.485077986,593067.485077986,593067.485077986,593067.485077986,593067.485077986,593067.485077986,0.0,0.0,0.0,3258669.7700552074
81,2018-10-01,2670122.2479877886,2693052.074496058,2767584.0218933295,2667733.9418059937,2672398.922631034,60453.39926386451,60453.39926386451,60453.39926386451,60453.39926386451,60453.39926386451,60453.39926386451,0.0,0.0,0.0,2730575.647251653
82,2018-11-01,2674792.8764320407,2264924.059637799,2338949.5845024497,2671922.043125497,2677570.0614606366,-374895.98295271304,-374895.98295271304,-374895.98295271304,-374895.98295271304,-374895.98295271304,-374895.98295271304,0.0,0.0,0.0,2299896.8934793277
83,2018-12-01,2679312.839442608,2088345.820735912,2162767.8622420263,2676035.7649800647,2682522.308551564,-554024.1529660769,-554024.1529660769,-554024.1529660769,-554024.1529660769,-554024.1529660769,-554024.1529660769,0.0,0.0,0.0,2125288.686476531
