,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
19,2013-08-31,2407540.235957552,2943368.078431356,3017814.7336298116,2407540.235957552,2407540.235957552,571074.9303553256,571074.9303553256,571074.9303553256,571074.9303553256,571074.9303553256,571074.9303553256,0.0,0.0,0.0,2978615.166312878
20,2013-09-30,2412042.231816174,2423356.9193807263,2496589.4087266307,2412042.231816174,2412042.231816174,47853.84845450187,47853.84845450187,47853.84845450187,47853.84845450187,47853.84845450187,47853.84845450187,0.0,0.0,0.0,2459896.080270676
21,2013-10-31,2416694.2068982334,2018163.666456449,2092088.452727649,2416694.206898233,2416694.206898233,-360838.56646739924,-360838.56646739924,-360838.56646739924,-360838.56646739924,-360838.56646739924,-360838.56646739924,0.0,0.0,0.0,2055855.6404308341
22,2013-11-30,2421196.118267968,1862688.1148764968,1936284.7322268481,2421196.118267968,2421196.118267968,-519122.6195175702,-519122.6195175702,-519122.6195175702,-519122.6195175702,-519122.6195175702,-519122.6195175702,0.0,0.0,0.0,1902073.4987503977
23,2013-12-31,2425836.6350869155,2218580.0200201217,2295367.3063650792,2425836.6350869155,2425836.6350869155,-169464.11420756826,-169464.11420756826,-169464.11420756826,-169464.11420756826,-169464.11420756826,-169464.11420756826,0.0,0.0,0.0,2256372.5208793473
24,2014-01-31,2430477.1519058635,1713696.217729825,1784384.4951556874,2430477.1519058635,2430477.1519058635,-681387.254850459,-681387.254850459,-681387.254850459,-681387.254850459,-681387.254850459,-681387.254850459,0.0,0.0,0.0,1749089.8970554045
25,2014-02-28,2434668.58645201,1362389.1630783565,1435679.2085501042,2434668.58645201,2434668.58645201,-1035186.9970788222,-1035186.9970788222,-1035186.9970788222,-1035186.9970788222,-1035186.9970788222,-1035186.9970788222,0.0,0.0,0.0,1399481.5893731879
26,2014-03-31,2438634.6865917123,2098076.895761171,2173078.534683732,2438634.6865917123,2438634.6865917123,-302713.576504179,-302713.576504179,-302713.576504179,-302713.576504179,-302713.576504179,-302713.576504179,0.0,0.0,0.0,2135921.1100875335
27,2014-04-30,2442472.8480172306,2493372.711927649,2566822.2911650296,2442472.8480172306,2442472.8480172306,85851.7145396837,85851.7145396837,85851.7145396837,85851.7145396837,85851.7145396837,85851.7145396837,0.0,0.0,0.0,2528324.5625569145
28,2014-05-31,2446418.6479188637,2833364.687666112,2910265.631616455,2446418.6479188637,2446418.6479188637,424340.00374873716,424340.00374873716,424340.00374873716,424340.00374873716,424340.00374873716,424340.00374873716,0.0,0.0,0.0,2870758.651667601
29,2014-06-30,2450237.1639527017,3143358.064746559,3216146.3711946756,2450237.1639527017,2450237.1639527017,729054.3513296334,729054.3513296334,729054.3513296334,729054.3513296334,729054.3513296334,729054.3513296334,0.0,0.0,0.0,3179291.515282335
30,2014-07-31,2454182.7839023173,3540704.257488431,3615054.131842556,2454182.7839023173,2454182.7839023173,1122887.4843450235,1122887.4843450235,1122887.4843450235,1122887.4843450235,1122887.4843450235,1122887.4843450235,0.0,0.0,0.0,3577070.268247341
31,2014-08-31,2458128.4038519333,2984299.8337300364,3057940.3979160227,2458128.4038519333,2458128.4038519333,563295.776769726,563295.776769726,563295.776769726,563295.776769726,563295.776769726,563295.776769726,0.0,0.0,0.0,3021424.1806216594
32,2014-09-30,2461946.7457340825,2469049.8267135867,2541533.678020692,2461946.7457340825,2461946.7457340825,44191.406428646886,44191.406428646886,44191.406428646886,44191.406428646886,44191.406428646886,44191.406428646886,0.0,0.0,0.0,2506138.1521627293
33,2014-10-31,2465892.3656789702,2073840.106035856,2147362.527782375,2465892.3656789702,2465892.3656789702,-355379.9796697432,-355379.9796697432,-355379.9796697432,-355379.9796697432,-355379.9796697432,-355379.9796697432,0.0,0.0,0.0,2110512.386009227
